mp-pt	item-code	treatment-of-code
aciclovir	1003T	5936
aciclovir	1007B	5942
aciclovir	1052J	5967
aciclovir	1052J	5959
thiamine	1070H	5139
cyproterone	1269T	5532
omeprazole	1326T	8775
omeprazole	1326T	8774
omeprazole	1327W	8780
omeprazole	1327W	8866
tetrabenazine	1330B	5340
flutamide	1417N	5816
ticagrelor	1418P	5746
fluconazole	1471K	6002
fluconazole	1471K	5978
fluconazole	1471K	6023
fluconazole	1471K	5989
fluconazole	1471K	6030
fluconazole	1471K	7898
fluconazole	1472L	6002
fluconazole	1472L	5978
fluconazole	1472L	6023
fluconazole	1472L	5989
fluconazole	1472L	6030
fluconazole	1472L	7898
fluconazole	1475P	6002
fluconazole	1475P	5978
fluconazole	1475P	6023
fluconazole	1475P	5989
fluconazole	1475P	6030
fluconazole	1475P	7898
aciclovir	1555W	5936
loperamide	1571Q	6364
ketoconazole	1574W	6434
ondansetron	1594X	10498
ondansetron	1595Y	10498
methadone	1606M	10745
methadone	1606M	10747
methadone	1606M	10751
methadone	1609Q	10745
methadone	1609Q	10747
methadone	1609Q	10751
morphine	1653B	10755
morphine	1653B	10748
morphine	1653B	10752
morphine	1654C	10755
morphine	1654C	10748
morphine	1654C	10752
morphine	1655D	10755
morphine	1655D	10748
morphine	1655D	10752
morphine	1656E	10755
morphine	1656E	10748
morphine	1656E	10752
naproxen	1658G	4159
naproxen	1658G	4124
olsalazine	1728Y	4824
perhexiline	1822X	5592
gabapentin	1834M	4928
gabapentin	1835N	4928
risperidone	1842Y	6898
risperidone	1842Y	6899
risperidone	1846E	5903
quinine	1975Y	5633
acitretin	2019G	5789
acitretin	2019G	5727
acitretin	2020H	5789
acitretin	2020H	5727
budesonide	2065Q	6340
budesonide	2066R	6340
sevelamer	2142R	5491
lansoprazole	2240X	8775
lansoprazole	2240X	8774
lansoprazole	2241Y	8780
famciclovir	2274Q	5937
liothyronine	2318B	6382
liothyronine	2318B	6410
liothyronine	2318B	6475
carmellose sodium	2324H	6172
carmellose sodium	2338C	6172
calcitriol	2502Q	5401
calcitriol	2502Q	5255
calcitriol	2502Q	5089
calcitriol	2502Q	5114
calcitriol	2502Q	5402
tramadol	2527B	10755
tramadol	2527B	10748
tramadol	2527B	10752
isotretinoin	2549E	5224
isotretinoin	2591J	5224
isotretinoin	2592K	5224
vigabatrin	2667J	4929
vigabatrin	2668K	4929
protein hydrolysate formula with medium chain triglycerides	2676W	6174
protein hydrolysate formula with medium chain triglycerides	2676W	6193
protein hydrolysate formula with medium chain triglycerides	2676W	6204
protein hydrolysate formula with medium chain triglycerides	2676W	6137
protein hydrolysate formula with medium chain triglycerides	2676W	6182
protein hydrolysate formula with medium chain triglycerides	2676W	6194
protein hydrolysate formula with medium chain triglycerides	2676W	6157
protein hydrolysate formula with medium chain triglycerides	2676W	6205
protein hydrolysate formula with medium chain triglycerides	2676W	6195
protein hydrolysate formula with medium chain triglycerides	2676W	6158
protein hydrolysate formula with medium chain triglycerides	2676W	6166
protein hydrolysate formula with medium chain triglycerides	2676W	6148
protein hydrolysate formula with medium chain triglycerides	2676W	6138
protein hydrolysate formula with medium chain triglycerides	2676W	6206
morphine	2839K	10755
morphine	2839K	10748
morphine	2839K	10752
morphine	2840L	10755
morphine	2840L	10748
morphine	2840L	10752
morphine	2841M	10755
morphine	2841M	10748
morphine	2841M	10752
lamotrigine	2848X	11081
lamotrigine	2849Y	11081
lamotrigine	2850B	11081
lamotrigine	2851C	11081
phosphorus	2946C	5089
phosphorus	2946C	5114
phosphorus	2946C	5095
phosphorus	2946C	5123
calcium	3117C	4586
medium chain triglycerides	3128P	6181
medium chain triglycerides	3128P	6134
medium chain triglycerides	3128P	6164
medium chain triglycerides	3128P	6203
medium chain triglycerides	3128P	6155
medium chain triglycerides	3128P	6135
medium chain triglycerides	3128P	6146
risperidone	3169T	4246
risperidone	3169T	5907
risperidone	3170W	4246
risperidone	3170W	5907
risperidone	3171X	4246
risperidone	3171X	5907
risperidone	3172Y	4246
risperidone	3172Y	5907
olanzapine	3381Y	5856
olanzapine	3381Y	5869
olanzapine	3382B	5856
olanzapine	3382B	5869
olanzapine	3384D	5856
olanzapine	3384D	5869
olanzapine	3385E	5856
olanzapine	3385E	5869
linagliptin	3387G	6346
linagliptin	3387G	6363
linagliptin	3387G	6376
linagliptin	3387G	7505
vildagliptin	3415R	6346
vildagliptin	3415R	6363
vildagliptin	3415R	6376
apixaban	5054B	4382
apixaban	5054B	4409
apixaban	5061J	4402
paliperidone	5100K	4246
paliperidone	5102M	4246
paliperidone	5103N	4246
paliperidone	5107T	4246
paliperidone	5109X	4246
denosumab	5110Y	4158
denosumab	5110Y	4150
asenapine	5140M	4246
asenapine	5140M	5773
asenapine	5140M	5719
asenapine	5141N	4246
asenapine	5141N	5773
asenapine	5141N	5719
magnesium	5146W	5506
magnesium	5146W	5466
fingolimod	5262Y	10162
fingolimod	5262Y	10172
fentanyl	5265D	10745
fentanyl	5265D	10747
fentanyl	5265D	10751
fentanyl	5277R	10745
fentanyl	5277R	10747
fentanyl	5277R	10751
fentanyl	5278T	10745
fentanyl	5278T	10747
fentanyl	5278T	10751
fentanyl	5279W	10745
fentanyl	5279W	10747
fentanyl	5279W	10751
fentanyl	5280X	10745
fentanyl	5280X	10747
fentanyl	5280X	10751
fentanyl	5437E	10745
fentanyl	5437E	10747
fentanyl	5437E	10751
fentanyl	5438F	10745
fentanyl	5438F	10747
fentanyl	5438F	10751
fentanyl	5439G	10745
fentanyl	5439G	10747
fentanyl	5439G	10751
fentanyl	5440H	10745
